:START_ID(Post),:END_ID(Tag)
349,brewing-process
349,flavor
349,french-press
349,turkish-coffee
352,brewing-process
352,pods
355,health
356,aroma
366,moka
366,induction
367,storage
367,flavor
368,accidents
373,decaffeinated
373,chemistry
373,acid
383,flavor
385,flavor
386,caffeine
386,health
388,flavor
388,beans
399,espresso
399,grinder
400,brewing-process
400,cold-brew
402,brewing-process
402,espresso
405,cold-brew
405,terminology
408,espresso
411,instant
413,health
413,caffeine
415,brewing-process
415,espresso
418,equipment
418,moka
418,percolator
424,brewing-process
424,flavor
424,temperature
425,milk
425,soy-milk
429,flavor
429,milk
431,equipment
431,cold-brew
431,filter
434,equipment
434,drip-brew
434,pour-over
434,paper-filter
435,flavor
435,espresso
436,digestion
443,espresso-machine
443,cleaning
450,iced-coffee
451,bean-varieties
452,espresso-machine
453,instant
458,bean-varieties
458,arabica
462,caffeine
463,brewing-process
463,espresso
463,roasting
464,caffeine
464,health
467,caffeine
467,health
471,brewing-process
471,foamed-milk
473,health
473,arabica
474,brewing-process
474,cappuccino
478,whole-bean
479,health
481,french-press
481,cold-brew
483,turkish-coffee
485,health
488,brewing-process
488,espresso
488,moka
495,brewing-process
495,flavor
498,brewing-process
498,bulletproof
1504,beans
1508,beans
1508,coffee-berries
1509,brewing-process
1509,flavored-coffee
1509,egg-coffee
1512,brewing-process
1512,egg-coffee
1518,drip-brew
1518,maintenance
1519,moka
1523,aeropress
1524,drip-brew
1524,filter
1524,paper-filter
1527,flavor
1527,beans
1527,bean-varieties
1532,equipment
1532,temperature
1532,history
1533,instant
1535,brewing-process
1540,ground-coffee
1540,grinder
1542,equipment
1542,turkish-coffee
1551,drip-brew
1551,equipment
1551,paper-filter
1552,food
1557,cold-brew
1562,cold-brew
1564,strength
1564,terminology
1564,extraction
1566,storage
1566,beans
1570,brewing-process
1570,filter
1570,coffee-machines
1571,drip-brew
1571,equipment
1571,filter
1571,paper-filter
1572,espresso
1572,nespresso
1575,beans
1575,storage
1575,whole-bean
1579,caffeine
1579,beans
1579,strength
1579,starbucks
1579,extraction
1582,espresso
1582,crema
1583,brewing-process
1583,tamping
1587,brewing-process
1587,trade-association
1588,equipment
1588,roasting
1588,cleaning
1588,maintenance
1590,espresso
1590,equipment
1590,tamping
1593,storage
1593,ground-coffee
1593,aroma
1594,health
1594,caffeine
1595,storage
1598,brewing-process
1598,espresso
1603,health
1603,decaffeinated
1608,flavor
1615,health
1615,trade-association
1619,flavor
1619,sugar
1620,health
1620,caffeine
1623,brewing-process
1623,aeropress
1623,temperature
1628,equipment
1628,cleaning
1633,storage
1641,latte-art
1643,brewing-process
1643,ground-coffee
1643,french-press
1647,espresso
1647,espresso-machine
1649,brewing-process
1649,caffeine
1653,flavor
1653,espresso
1653,cup
1656,milk
1656,latte
1656,latte-art
1656,steamed-milk
1658,brewing-process
1658,filter
1658,paper-filter
1658,pour-over
1658,chemex
1668,espresso
1668,beans
1671,beans
1671,whole-bean
1671,recycling
1671,food
1675,flavor
1675,drip-brew
1683,french-press
1683,coffee-bloom
1686,roasting
1686,home-roasting
1687,crema
1687,latte
1687,latte-art
1689,whole-bean
1692,brewing-process
1692,espresso
1694,aeropress
1695,french-press
1698,roasting
1704,aeropress
1712,equipment
1714,french-press
1714,filter
1715,drip-brew
1715,pour-over
1720,flavor
1720,aroma
1721,aeropress
1725,storage
1727,brewing-process
1727,moka
1728,pour-over
1729,drip-brew
1729,equipment
1735,brewing-process
1735,coffee-bloom
1736,french-press
1747,aeropress
1748,caffeine
1749,brewing-process
1749,aeropress
1749,ground-coffee
1750,filter
1750,paper-filter
1750,ground-coffee
1751,caffeine
1751,instant
1760,flavor
1760,kopiluwak
1761,brewing-process
1761,equipment
1761,strength
1765,beans
1765,kopiluwak
1769,brewing-process
1769,beans
1769,drip-brew
1769,grinder
1775,beans
1775,caffeine
1775,extraction
1775,ground-coffee
1775,digestion
1778,brewing-process
1778,flavor
1778,moka
1778,temperature
1784,growing
1784,farming
1786,espresso
1786,equipment
1790,instant
1792,equipment
1793,latte
1793,strength
1800,bean-varieties
1801,capsule
1801,recycling
1801,pods
1811,caffeine
1811,health
1812,grinder
1813,caffeine
1813,health
1813,tradition
1826,ground-coffee
1826,iced-coffee
1833,ground-coffee
1833,turkish-coffee
1834,beans
1834,roasting
1837,flavor
1838,storage
1838,flavored-coffee
1842,brewing-process
1842,flavor
1843,roasting
1843,strength
1847,espresso
1847,moka
1850,drip-brew
1850,strength
1850,paper-filter
1850,extraction
1856,health
1860,espresso
1863,brewing-process
1863,espresso
1863,temperature
1863,extraction
1863,tamping
1869,caffeine
1869,ground-coffee
1872,cold-brew
1875,iced-coffee
1876,drip-brew
1876,extraction
1876,v60
1877,cleaning
1877,keurig
1883,bulletproof
1884,brewing-process
1884,instant
1890,ground-coffee
1890,roasting
1893,grinder
1894,flavor
1894,ground-coffee
1895,flavor
1895,drip-brew
1898,roasting
1898,bean-varieties
1898,coffee-blends
1900,flavor
1900,flavored-coffee
1902,drip-brew
1902,ground-coffee
1902,equipment
1912,brewing-process
1912,flavor
1912,cold-brew
1912,chemex
1914,beans
1914,storage
1917,espresso
1917,extraction
1923,caffeine
1923,aeropress
1925,brewing-process
1925,french-press
1925,coffee-bloom
1926,moka
1926,induction
1932,food
1935,keurig
1936,beans
1936,farming
1936,coffee-berries
1938,espresso
1938,equipment
1943,brewing-process
1943,health
1943,strength
1945,roasting
1951,espresso
1955,caffeine
1962,milk
1964,grinder
1969,ground-coffee
1977,espresso
1977,equipment
1977,espresso-machine
1977,decaffeinated
1980,beans
1980,storage
1982,caffeine
1982,health
1986,storage
1986,ground-coffee
1991,caffeine
1996,milk
1998,flavor
1998,drip-brew
1998,aeropress
1998,turkish-coffee
2004,espresso
2007,home-roasting
2012,paper-filter
2012,v60
2013,v60
2015,espresso-machine
2015,equipment
2015,moka
2015,induction
2016,storage
2017,brewing-process
2019,brewing-process
2019,pour-over
2019,temperature
2024,moka
2025,equipment
2025,moka
2032,aeropress
2034,beans
2037,brewing-process
2037,equipment
2037,siphon
2037,syphon
2037,vacuum-coffee-maker
2038,ground-coffee
2038,french-press
2040,grinder
2054,starbucks
2054,coffee-blends
2056,flavored-coffee
2056,coffee-culture
2060,history
2065,history
2067,espresso
2067,ground-coffee
2069,moka
2069,cleaning
2071,turkish-coffee
2073,aeropress
2073,cold-brew
2074,caffeine
2076,espresso
2076,caffeine
2079,arabica
2081,filter
2084,milk
2093,beans
2093,roasting
2093,home-roasting
2096,bean-varieties
2096,tasting
2097,storage
2097,quality
2100,espresso
2100,flavor
2100,percolator
2101,espresso
2105,espresso-machine
2106,latte-art
2113,ground-coffee
2113,coffee-machines
2115,flavor
2121,beans
2121,arabica
2121,business
2122,aeropress
2122,crema
2127,caffeine
2127,health
2131,aeropress
2131,flavored-coffee
2135,beans
2135,growing
2140,cold-brew
2142,beans
2142,grinder
2152,espresso
2152,ground-coffee
2152,grinder
2153,extraction
2153,turkish-coffee
2153,syphon
2154,flavor
2154,bean-varieties
2154,arabica
2154,aroma
2156,extraction
2160,health
2160,cleaning
2162,ground-coffee
2165,caffeine
2165,beans
2166,brewing-process
2166,grinder
2171,ground-coffee
2172,bean-varieties
2172,chemistry
2174,brewing-process
2174,equipment
2175,beans
2175,bean-varieties
2186,espresso
2195,sugar
2197,brewing-process
2197,aeropress
2197,acid
2198,beans
2198,storage
2206,brewing-process
2208,espresso
2208,espresso-machine
2208,crema
2218,espresso
2218,starbucks
2220,caffeine
2223,acid
2223,bean-to-cup
2228,caffeine
2230,cleaning
2230,cup
2235,brewing-process
2235,espresso
2235,ground-coffee
2239,caffeine
2243,equipment
2249,steamed-milk
2249,coffee-machines
2250,caffeine
2250,health
2252,brewing-process
2252,health
2252,drip-brew
2252,filter
2252,paper-filter
2265,moka
2267,cleaning
2267,coffee-machines
2269,french-press
2269,grinder
2270,brewing-process
2270,equipment
2270,cold-brew
2271,caffeine
2271,health
2275,ground-coffee
2275,coffee-machines
2282,flavored-coffee
2285,ground-coffee
2285,instant
2285,arabica
2289,cold-brew
2293,health
2293,milk
2294,nespresso
2294,capsule
2298,health
2302,espresso
2302,caffeine
2307,ground-coffee
2307,vietnam
2311,ground-coffee
2311,quality
2314,flavor
2314,espresso
2317,brewing-process
2317,drip-brew
2323,french-press
2323,filter
2323,instant
2326,cold-brew
2327,equipment
2327,turkish-coffee
2331,drip-brew
2331,paper-filter
2333,business
2338,roasting
2349,chemistry
2350,espresso-machine
2350,moka
2350,crema
2352,espresso
2352,espresso-machine
2352,latte
2352,nespresso
2354,beans
2354,dessert
2358,caffeine
2358,health
2358,beans
2363,health
2363,ground-coffee
2363,chemistry
2364,espresso
2364,espresso-machine
2364,portafilter
2369,home-roasting
2371,espresso
2372,brewing-process
2372,ground-coffee
2372,roasting
2372,chemistry
2378,flavor
2378,roasting
2381,ground-coffee
2384,brewing-process
2384,turkish-coffee
2387,caffeine
2387,roasting
2394,flavor
2394,beans
2394,turkish-coffee
2396,grinder
2398,espresso
2403,drip-brew
2403,grinder
2403,cold-brew
2404,cold-brew
2405,drip-brew
2410,turkish-coffee
2416,health
2420,temperature
2420,steamed-milk
2420,foamed-milk
2420,froth
2422,health
2422,beans
2424,health
2424,beans
2424,sugar
2425,grinder
2426,aeropress
2429,brewing-process
2429,espresso
2430,aeropress
2430,flavored-coffee
2432,brewing-process
2432,beans
2432,green-coffee
2437,caffeine
2437,beans
2438,growing
2441,caffeine
2441,iced-coffee
2444,cleaning
2444,maintenance
2444,quality
2444,bean-to-cup
2446,equipment
2446,coffee-machines
2452,espresso
2461,temperature
2461,steamed-milk
2461,foamed-milk
2467,moka
2467,crema
2473,brewing-process
2473,espresso
2475,beans
2476,beans
2476,kopiluwak
2479,flavor
2479,growing
2479,ground-coffee
2482,cappuccino
2484,caffeine
2484,storage
2494,terminology
2494,brewing-process
2494,percolator
2496,flavor
2496,v60
2496,chemex
2508,espresso-machine
2515,grinder
2515,maintenance
2517,aeropress
2517,technique
2518,aeropress
2519,health
2529,moka
2529,extraction
2529,acid
2533,roasting
2537,flavor
2537,pour-over
2537,v60
2539,cappuccino
2539,history
2545,turkish-coffee
2547,aeropress
2547,brewing-process
2555,beans
2555,bean-varieties
2555,decaffeinated
2555,bean-to-cup
2558,food
2562,espresso
2562,espresso-machine
2570,brewing-process
2570,flavor
2570,bean-varieties
2573,beans
2573,roasting
2573,milk
2573,soy-milk
2575,espresso
2575,milk
2575,latte
2580,brewing-process
2580,espresso
2581,moka
2581,turkish-coffee
2581,chemistry
2581,technique
2584,espresso-machine
2584,ground-coffee
2591,grinder
2591,ground-coffee
2594,health
2594,storage
2594,roasting
2594,chemistry
2594,home-roasting
2598,espresso
2600,flavor
2600,cup
2602,flavor
2602,growing
2605,beans
2613,milk
2624,ground-coffee
2624,equipment
2624,grinder
2628,equipment
2633,roasting
2641,espresso
2641,espresso-machine
2641,crema
2643,beans
2648,cleaning
2648,keurig
2652,roasting
2652,home-roasting
2656,french-press
2656,iced-coffee
2662,flavor
2669,beans
2669,health
2669,grinder
2674,health
2674,digestion
2678,flavor
2678,decaffeinated
2679,flavor
2680,french-press
2688,vietnam
2689,flavor
2689,caffeine
2689,sugar
2693,flavor
2693,coffee-machines
2695,coffee-shop
2696,espresso
2696,tamping
2699,espresso
2700,brewing-process
2700,flavor
2700,equipment
2700,storage
2700,coffee-machines
2701,flavor
2701,drip-brew
2701,acid
2705,brewing-process
2705,espresso-machine
2715,roasting
2715,home-roasting
2715,coffee-blends
2716,beans
2717,beans
2719,roasting
2729,equipment
2729,coffee-machines
2729,maintenance
2730,brewing-process
2730,caffeine
2730,french-press
2731,aeropress
2731,french-press
2733,instant
2735,grinder
2738,roasting
2738,home-roasting
2745,espresso
2752,equipment
2754,flavor
2754,beans
2754,bean-varieties
2754,green-coffee
2763,tamping
2766,espresso
2766,equipment
2766,espresso-machine
2766,quality
2768,paper-filter
2772,coffee-culture
2776,equipment
2780,espresso
2781,equipment
2781,cold-brew
2781,filter
2782,brewing-process
2782,ground-coffee
2782,french-press
2786,bulletproof
2788,equipment
2788,milk
2791,coffee-shop
2796,flavor
2796,ground-coffee
2796,turkish-coffee
2798,flavor
2798,roasting
2799,accidents
2808,cup
2808,coffee-shop
2812,flavor
2815,grinder
2821,flavored-coffee
2829,latte
2829,foamed-milk
2839,history
2839,coffee-culture
2842,grinder
2842,identify-this
2844,brewing-process
2844,acid
2855,kopiluwak
2856,aeropress
2856,chemistry
2857,health
2867,espresso
2867,crema
2868,equipment
2872,chemistry
2877,ground-coffee
2878,filter
2878,pour-over
2878,maintenance
2881,storage
2881,home-roasting
2887,latte
2888,beans
2888,storage
2889,coffee-blends
2892,brewing-process
2892,filter
2892,chemistry
2892,ground-coffee
2894,caffeine
2894,starbucks
2898,flavor
2898,drip-brew
2898,troubleshooting
2899,decaffeinated
2902,coffee-berries
2902,coffee-culture
2902,green-coffee
2903,espresso-machine
2903,maintenance
2907,cappuccino
2907,history
2907,coffee-culture
2929,equipment
2929,espresso-machine
2932,health
2932,coffee-culture
2936,beans
2936,ground-coffee
2936,strength
2945,roasting
2945,home-roasting
2947,coffee-machines
2952,french-press
2952,cup
2955,brewing-process
2955,cold-brew
2955,chemistry
2955,technique
2957,brewing-process
2957,espresso
2959,espresso
2959,flavor
2961,espresso
2964,espresso
2964,iced-coffee
2967,drip-brew
2967,cleaning
2972,moka
2976,milk
2976,soy-milk
2984,flavored-coffee
2984,coffee-culture
2986,health
2990,flavor
2990,sugar
2995,caffeine
2995,health
2996,espresso-machine
2997,sugar
2997,ground-coffee
2999,flavor
2999,sugar
2999,coffee-culture
3013,roasting
3013,home-roasting
3013,resting
3016,equipment
3016,brewing-process
3020,instant
3026,coffee-machines
3028,caffeine
3028,ground-coffee
3028,french-press
3028,coffee-machines
3041,brewing-process
3041,equipment
3041,coffee-machines
3042,caffeine
3042,health
3045,brewing-process
3045,moka
3045,coffee-machines
3055,espresso
3057,flavor
3058,milk
3060,roasting
3064,cold-brew
3066,brewing-process
3066,coffee-machines
3068,flavor
3068,bean-varieties
3074,brewing-process
3074,turkish-coffee
3080,cold-brew
3081,equipment
3081,coffee-machines
3081,food
3083,green-coffee
3083,packaging
3095,flavored-coffee
3102,health
3104,chemistry
3104,extraction
3106,bean-varieties
3109,bean-varieties
3109,coffee-culture
3112,flavor
3112,flavored-coffee
3113,espresso
3113,caffeine
3113,health
3113,espresso-machine
3115,espresso
3115,coffee-machines
3126,equipment
3126,business
3127,health
3133,instant
3136,espresso-machine
3142,health
3142,coffee-culture
3143,iced-coffee
3144,drip-brew
3150,roasting
3150,home-roasting
3154,cold-brew
3155,storage
3155,quality
3155,pods
3163,ground-coffee
3168,espresso
3168,flavor
3168,espresso-machine
3168,grinder
3168,barista
3172,coffee-culture
3176,flavor
3176,temperature
3179,cold-brew
3183,pods
3187,beans
3189,cold-brew
3189,filter
3192,aeropress
3192,digestion
3194,french-press
3196,coffee-culture
3198,flavor
3198,decaffeinated
3199,espresso-machine
3199,cleaning
3204,cleaning
3204,nespresso
3204,acid
3205,flavor
3205,sugar
3205,tasting
3212,espresso-machine
3212,maintenance
3212,bean-to-cup
3214,flavor
3214,cold-brew
3214,business
3223,espresso
3223,coffee-machines
3223,crema
3228,health
3228,caffeine
3236,espresso
3237,roasting
3237,bean-varieties
3239,coffee-machines
3239,keurig
3242,coffee-machines
3244,brewing-process
3244,flavor
3244,aeropress
3248,roasting
3248,home-roasting
3248,cup
3248,tasting
3248,resting
3249,bean-varieties
3252,espresso-machine
3252,cleaning
3252,maintenance
3254,espresso
3254,coffee-machines
3259,caffeine
3263,aeropress
3265,coffee-machines
3265,milk
3273,flavor
3273,coffee-machines
3273,quality
3273,coffee-shop
3275,bulletproof
3277,espresso
3277,beans
3277,grinder
3277,technique
3282,flavor
3282,pour-over
3282,paper-filter
3282,v60
3282,chemex
3284,espresso
3284,espresso-machine
3288,espresso
3288,grinder
3289,coffee-culture
3289,food
3289,tasting
3289,tradition
3293,caffeine
3293,decaffeinated
3296,cold-brew
3299,coffee-culture
3299,history
3301,grinder
3301,coffee-shop
3304,starbucks
3304,history
3304,terminology
3306,equipment
3306,moka
3306,cleaning
3314,cold-brew
3323,beans
3323,roasting
3323,storage
3326,bean-varieties
3326,flavored-coffee
3328,percolator
3333,coffee-machines
3334,espresso-machine
3334,steamed-milk
3341,caffeine
3341,ground-coffee
3341,storage
3341,aroma
3344,cold-brew
3347,drip-brew
3347,milk
3347,instant
3347,sugar
3352,roasting
3354,coffee-culture
3355,health
3355,ground-coffee
3355,temperature
3356,brewing-process
3356,ground-coffee
3356,moka
3362,espresso
3365,cleaning
3365,grinder
3373,flavor
3373,drip-brew
3379,moka
3379,cleaning
3381,moka
3381,extraction
3382,moka
3382,extraction
3383,equipment
3383,steamed-milk
3384,cleaning
3384,bean-to-cup
3386,caffeine
3392,brewing-process
3392,drip-brew
3392,cold-brew
3396,health
3400,french-press
3400,keurig
3403,beans
3403,ground-coffee
3408,espresso
3408,espresso-machine
3408,latte
3408,steamed-milk
3408,latte-art
3410,maintenance
3410,keurig
3410,brewing-process
3411,espresso
3411,moka
3412,espresso-machine
3422,ground-coffee
3424,coffee-culture
3424,kopiluwak
3430,espresso-machine
3430,starbucks
3431,ground-coffee
3431,filter
3431,arabica
3434,espresso
3434,coffee-culture
3434,starbucks
3439,health
3444,extraction
3445,brewing-process
3445,french-press
3445,filter
3445,pour-over
3445,paper-filter
3448,roasting
3448,packaging
3455,drip-brew
3455,temperature
3456,cold-brew
3456,extraction
3456,temperature
3460,bean-varieties
3460,arabica
3461,pour-over
3461,v60
3461,acid
3466,cold-brew
3466,siphon
3470,cold-brew
3475,caffeine
3479,equipment
3479,moka
3479,cleaning
3481,health
3485,drip-brew
3485,pour-over
3491,espresso-machine
3491,french-press
3495,espresso-machine
3497,coffee-machines
3497,coffee-culture
3502,milk
3504,steamed-milk
3508,roasting
3508,instant
3509,beans
3509,instant
3509,chemistry
3509,arabica
3511,ground-coffee
3511,aeropress
3511,moka
3511,french-press
3511,brewing-process
3516,ground-coffee
3516,chemistry
3518,espresso
3518,espresso-machine
3519,espresso-machine
3525,flavor
3525,beans
3525,cleaning
3525,kopiluwak
3526,storage
3526,packaging
3529,growing
3532,beans
3532,storage
3535,cold-brew
3539,espresso-machine
3539,cleaning
3539,maintenance
3542,flavor
3542,beans
3546,moka
3546,grinder
3548,grinder
3548,maintenance
3550,roasting
3550,home-roasting
3553,health
3554,aeropress
3559,drip-brew
3561,nespresso
3561,capsule
3566,health
3566,caffeine
3567,moka
3567,cup
3567,ground-coffee
3574,french-press
3582,coffee-machines
3592,equipment
3594,aeropress
3594,temperature
3597,beans
3597,bean-varieties
3597,green-coffee
3597,coffee-berries
3614,extraction
3630,brewing-process
3630,drip-brew
3630,pour-over
3633,brewing-process
3633,flavor
3633,ground-coffee
3633,drip-brew
3633,flavored-coffee
3635,coffee-culture
3637,coffee-culture
3637,instant
3638,brewing-process
3638,flavor
3638,health
3638,french-press
3640,coffee-culture
3641,brewing-process
3641,milk
3651,brewing-process
3651,ground-coffee
3651,drip-brew
3651,coffee-culture
3660,roasting
3663,pour-over
3665,espresso
3665,coffee-culture
3672,espresso
3672,health
3672,flavored-coffee
3674,brewing-process
3681,health
3681,french-press
3681,instant
3690,caffeine
3692,aeropress
3692,grinder
3692,chemex
3693,storage
3693,instant
3705,iced-coffee
3706,coffee-culture
3709,health
3709,coffee-culture
3709,decaffeinated
3713,espresso
3715,espresso
3715,beans
3715,ground-coffee
3717,coffee-shop
3726,pour-over
3735,roasting
3735,bean-varieties
3737,flavor
3737,ground-coffee
3737,storage
3737,french-press
3749,espresso
3753,espresso
3753,coffee-machines
3754,instant
3754,aroma
3755,beans
3756,espresso-machine
3756,cleaning
3756,maintenance
3763,espresso
3763,espresso-machine
3763,extraction
3763,chemistry
3763,acid
3768,espresso
3768,moka
3768,percolator
3774,brewing-process
3774,percolator
3774,ground-coffee
3775,decaffeinated
3775,temperature
3775,percolator
3780,percolator
3780,coffee-bloom
3781,pour-over
3791,coffee-culture
3798,equipment
3798,french-press
3798,filter
3800,espresso
3800,espresso-machine
3806,brewing-process
3806,filter
3807,moka
3807,percolator
3807,brewing-process
3812,espresso
3812,moka
3813,espresso-machine
3813,bean-to-cup
3815,flavor
3815,coffee-machines
3815,brewing-process
3816,ground-coffee
3816,aeropress
3816,grinder
3820,health
3820,caffeine
3820,storage
3820,instant
3821,storage
3821,whole-bean
3828,aeropress
3828,french-press
3834,farming
3837,health
3837,caffeine
3840,health
3841,health
3842,brewing-process
3842,flavor
3842,roasting
3844,drip-brew
3862,milk
3862,steamed-milk
3862,nespresso
3862,foamed-milk
3862,froth
3864,flavor
3864,ground-coffee
3864,freshness
3868,cold-brew
3871,brewing-process
3873,instant
3876,espresso
3876,espresso-machine
3876,maintenance
3879,espresso
3879,coffee-machines
3886,cleaning
3886,filter
3886,pour-over
3886,chemex
3890,equipment
3890,moka
3892,espresso-machine
3892,cleaning
3892,maintenance
3894,espresso
3894,moka
3894,iced-coffee
3898,espresso
3898,sugar
3902,beans
3902,roasting
3907,beans
3907,grinder
3913,health
3913,ground-coffee
3913,coffee-culture
3917,ground-coffee
3917,coffee-culture
3921,cold-brew
3924,pods
3926,espresso
3926,coffee-culture
3932,coffee-berries
3934,turkish-coffee
3936,coffee-culture
3936,history
3940,beans
3946,espresso
3946,espresso-machine
3946,coffee-machines
3953,espresso
3956,espresso
3956,coffee-culture
3956,history
3959,beans
3959,coffee-culture
3959,home-roasting
3961,maintenance
3961,grinder
3963,beans
3963,ground-coffee
3963,storage
3963,grinder
3969,brewing-process
3969,pour-over
3969,coffee-bloom
3973,brewing-process
3973,flavor
3973,storage
3973,filter
3973,extraction
3975,coffee-culture
3977,espresso
3977,health
3984,espresso
3984,espresso-machine
3984,steamed-milk
3984,bean-to-cup
3990,coffee-culture
3990,coffee-shop
4002,latte-art
4006,espresso
4006,flavor
4009,brewing-process
4014,flavor
4014,packaging
4020,iced-coffee
4024,packaging
4027,aeropress
4032,coffee-culture
4035,health
4035,caffeine
4040,health
4043,cleaning
4043,espresso
4047,decaffeinated
4048,cold-brew
4052,brewing-process
4052,identify-this
4056,cold-brew
4056,packaging
4061,moka
4068,flavor
4071,espresso-machine
4072,brewing-process
4072,filter
4072,extraction
4077,espresso-machine
4078,ground-coffee
4078,drip-brew
4084,brewing-process
4084,espresso
4084,flavor
4084,equipment
4084,aeropress
4086,ground-coffee
4086,paper-filter
4087,pour-over
4087,ground-coffee
4090,flavor
4090,caffeine
4093,kopiluwak
4096,whole-bean
4096,green-coffee
4098,espresso
4098,espresso-machine
4098,froth
4102,vietnam
4113,cold-brew
4115,equipment
4115,pour-over
4115,barista
4127,flavor
4127,bean-varieties
4127,tasting
4128,espresso
4136,coffee-machines
4136,maintenance
4141,flavor
4142,nespresso
4143,french-press
4146,ground-coffee
4146,french-press
4149,drip-brew
4149,pour-over
4152,milk
4152,espresso
4153,brewing-process
4153,french-press
4153,crema
4154,instant
4161,brewing-process
4161,ground-coffee
4161,acid
4162,foamed-milk
4162,froth
4171,grinder
4173,paper-filter
4173,chemex
4175,espresso
4175,roasting
4175,coffee-blends
4180,brewing-process
4180,espresso-machine
4180,foamed-milk
4182,coffee-blends
4184,flavor
4190,roasting
4193,coffee-culture
4196,flavored-coffee
4200,health
4200,resting
4206,health
4208,flavor
4208,ground-coffee
4208,decaffeinated
4210,coffee-culture
4215,espresso-machine
4216,health
4216,caffeine
4222,bean-varieties
4225,health
4231,flavor
4237,equipment
4237,moka
4239,ground-coffee
4242,caffeine
4242,arabica
4244,beans
4246,french-press
4251,equipment
4251,latte
4251,nespresso
4251,foamed-milk
4251,latte-art
4253,equipment
4258,espresso
4261,espresso
4261,moka
4264,storage
4266,health
4266,caffeine
4268,drip-brew
4268,coffee-machines
4269,coffee-blends
4270,steamed-milk
4275,espresso-machine
4275,maintenance
4276,french-press
4279,espresso
4279,espresso-machine
4289,brewing-process
4289,french-press
4292,espresso-machine
4292,bean-to-cup
4295,drip-brew
4295,extraction
4295,brewing-process
4297,espresso-machine
4297,nespresso
4297,pods
4299,moka
4303,grinder
4305,cold-brew
4307,health
4307,beans
4308,equipment
4308,cup
4311,instant
4313,health
4313,caffeine
4313,aroma
4326,storage
4326,whole-bean
4328,extraction
4335,health
4335,caffeine
4338,coffee-machines
4340,brewing-process
4340,turkish-coffee
4342,moka
4342,cleaning
4343,beans
4343,storage
4345,espresso
4345,espresso-machine
4345,grinder
4346,espresso
4346,extraction
4350,coffee-culture
4350,cappuccino
4350,egg-coffee
4353,turkish-coffee
4356,beans
4356,grinder
4356,freshness
4358,health
4359,espresso
4364,brewing-process
4364,beans
4364,bean-varieties
4370,pour-over
4370,paper-filter
4374,espresso
4374,coffee-culture
4374,recommendation
4375,caffeine
4375,ground-coffee
4379,health
4379,caffeine
